no,pic,cla,ans
1,pic/1.png,baseline,['num_1']
2,pic/2.png,baseline,['num_2']
3,pic/3.png,baseline,['num_3']
4,pic/4.png,baseline,['num_4']
5,pic/5.png,baseline,['num_5']
6,pic/6.png,baseline,['num_6']
7,pic/7.png,baseline,['num_7']
8,pic/8.png,baseline,['num_8']
9,pic/9.png,baseline,['num_9']
10,pic/1.png,baseline,['num_1']
11,pic/2.png,baseline,['num_2']
12,pic/3.png,baseline,['num_3']
13,pic/4.png,baseline,['num_4']
14,pic/5.png,baseline,['num_5']
15,pic/6.png,baseline,['num_6']
16,pic/7.png,baseline,['num_7']
17,pic/8.png,baseline,['num_8']
18,pic/9.png,baseline,['num_9']
19,pic/1.png,baseline,['num_1']
20,pic/2.png,baseline,['num_2']
21,pic/3.png,baseline,['num_3']
22,pic/4.png,baseline,['num_4']
23,pic/5.png,baseline,['num_5']
24,pic/6.png,baseline,['num_6']
25,pic/7.png,baseline,['num_7']
26,pic/8.png,baseline,['num_8']
27,pic/9.png,baseline,['num_9']
